Name,Phone,Date,Duration_timespan,Duration_Sec
"Heaven Oberbrunner","6142278425","14/04/21 11:49:32 AM","00:50:24","24"
"Tiara Blick","8544178677","20/02/21 05:38:15 AM","00:27:06","6"
"Loy Anderson","7751552622","02/02/23 02:18:04 PM","00:31:50","50"
"Osbaldo Frami","6363788523","21/06/23 03:53:55 PM","00:44:41","41"
"Elizabeth Kerluke","7641637280","19/06/21 06:26:31 PM","00:07:07","7"
"Noe Howe","8642773250","31/01/23 02:32:26 AM","00:58:22","22"
"Arjun Emmerich","6741632365","12/01/23 12:55:53 PM","00:24:35","35"
"Ross Ondricka","8874661140","13/10/21 04:00:59 AM","00:59:16","16"
"Alexandro Heidenreich","7016647153","21/08/21 11:50:51 PM","00:27:40","40"
"Myriam Hauck","7363548621","21/03/23 01:24:13 AM","00:04:08","8"
"Katelin Dicki","7771071266","10/12/21 08:33:24 AM","00:42:17","17"
"Zakary Jerde","7558066525","22/03/21 04:00:16 AM","00:55:55","55"
"Abigayle Barton","8425588575","27/12/22 07:42:20 AM","00:32:05","5"
"Maida Kassulke","7435070538","30/04/23 05:37:52 PM","00:09:38","38"
"Lenna Lueilwitz","6336328528","10/04/23 06:57:22 AM","00:46:53","53"
"Lenna Lueilwitz","6336328528","21/09/21 08:33:40 AM","00:40:05","5"
"Lenna Lueilwitz","6336328528","27/08/21 06:20:02 PM","00:57:58","58"
"Elbert Reichel","8812480763","01/03/22 10:35:14 PM","00:18:28","28"
"Grady Wintheiser","6252764861","06/12/21 08:29:41 PM","00:43:38","38"
"Alayna Glover","8154056327","25/09/22 09:05:36 PM","00:54:29","29"
"Jane Prosacco","7618060341","18/05/21 06:36:45 PM","00:30:25","25"
"Morris Goldner","8880873376","28/06/23 09:26:47 PM","00:23:32","32"
"Sydnie Adams","6111075846","09/04/22 02:08:07 PM","00:10:40","40"
"Jarod Tromp","6738863880","02/05/22 09:18:46 AM","00:54:40","40"
"Myriam Hauck","7363548621","21/06/23 05:07:12 AM","00:01:37","37"
"Amos Wisoky","7524067281","29/03/21 01:45:40 AM","00:28:51","51"
"Juana Welch","8440655110","23/01/21 09:36:19 PM","00:24:48","48"
"Lucienne Konopelski","6800123174","15/12/21 05:29:04 PM","00:15:19","19"
"Abigayle Barton","8425588575","10/08/21 06:58:10 AM","00:10:40","40"
"Kara Hackett","8371131081","19/01/22 06:20:29 AM","00:23:44","44"
"Meagan Torp","8815612476","05/04/21 01:35:00 AM","00:58:11","11"
"Amos Wisoky","7524067281","01/05/23 04:51:54 PM","00:09:27","27"
"Sydnie Adams","6111075846","13/10/21 06:58:24 PM","00:29:39","39"
"Roberta Gorczany","6782844083","13/08/22 12:10:34 AM","00:13:10","10"
"Eulalia Carter","6620381605","31/12/21 07:51:25 PM","00:37:08","8"
"Meagan Torp","8815612476","16/11/22 11:16:00 AM","00:31:32","32"
"Rhianna Towne","6388062322","18/11/22 01:57:41 AM","00:35:58","58"
"Meagan Torp","8815612476","19/09/22 01:28:37 PM","00:07:45","45"
"Lenna Lueilwitz","6336328528","14/10/22 04:31:24 AM","00:46:30","30"
"Morris Goldner","8880873376","24/04/21 04:48:59 AM","00:31:13","13"
"Kali Blanda","6174001627","12/04/23 01:36:55 PM","00:49:01","1"
"Grayson Kris","6446678835","19/02/23 12:49:37 AM","00:28:14","14"
"Lysanne O'Conner","6716264882","18/08/21 04:13:39 PM","00:43:07","7"
"Nash Cummings","8558821633","13/12/22 09:47:40 AM","00:15:30","30"
"Leonel Crona","6626720382","09/08/21 09:57:14 AM","00:55:12","12"
"Alayna Glover","8154056327","05/12/21 03:25:55 AM","00:14:06","6"
"Cordia Weissnat","8714675243","25/04/23 05:26:16 PM","00:04:16","16"
"Loy Anderson","7751552622","03/12/22 07:00:54 PM","00:44:25","25"
"Leonel Crona","6626720382","25/12/22 10:19:34 AM","00:54:58","58"
"Darlene Schmitt","7465500580","14/07/21 01:51:02 AM","00:09:14","14"
"Alisa Schoen","6264071647","19/11/22 02:05:30 PM","00:28:33","33"
"Darlene Schmitt","7465500580","19/08/21 11:46:11 PM","00:44:42","42"
"Julian Hirthe","8750634144","04/05/21 02:24:32 PM","00:25:11","11"
"Dexter Rodriguez","7567834867","16/09/21 12:44:19 PM","00:17:14","14"
"Brigitte Wyman","8177025320","08/10/22 12:29:15 AM","00:01:50","50"
"Eulalia Carter","6620381605","18/09/22 06:32:20 AM","00:47:41","41"
"Eulalia Carter","6620381605","08/11/22 09:04:44 PM","00:35:21","21"
"Cordia Weissnat","8714675243","28/03/23 03:20:21 PM","00:58:50","50"
"Alisa Schoen","6264071647","22/01/21 07:43:42 AM","00:33:59","59"
"Marcus Homenick","8100511881","05/12/21 12:47:31 PM","00:30:21","21"
"Theo Kihn","6825544206","25/12/22 12:11:49 AM","00:18:06","6"
"Clovis Boyer","7672443644","27/08/22 02:09:39 PM","00:09:37","37"
"Jasmin Balistreri","6856377365","23/06/23 08:57:56 AM","00:06:05","5"
"Adolphus McGlynn","7674284835","05/12/21 05:37:49 AM","00:57:30","30"
"Mckenna Greenfelder","8474444466","03/03/21 03:13:27 PM","00:22:19","19"
"Darlene Schmitt","7465500580","21/06/21 11:09:50 PM","00:14:12","12"
"Mckenna Greenfelder","8474444466","21/08/21 02:54:55 AM","00:50:44","44"
"Brigitte Wyman","8177025320","18/07/21 07:49:51 PM","00:18:55","55"
"Jordyn Kunde","8074652402","17/12/22 09:34:18 PM","00:42:14","14"
"Darron Towne","6481435540","09/05/22 02:47:47 AM","00:56:52","52"
"Reginald Wuckert","7171250628","13/01/21 09:29:48 PM","00:43:38","38"
"Kim Lesch","8671863255","29/06/23 06:57:02 PM","00:21:04","4"
"Zakary Jerde","7558066525","10/02/23 07:56:09 PM","00:13:51","51"
"Loy Anderson","7751552622","18/05/23 01:24:04 AM","00:56:23","23"
"Lysanne O'Conner","6716264882","04/08/21 06:33:51 PM","00:01:06","6"
"Arjun Emmerich","6741632365","24/09/21 10:09:55 AM","00:10:13","13"
"Jacques Kessler","8027520724","03/08/22 01:17:08 AM","00:43:06","6"
"Rudy Gleichner","8158818283","06/05/22 11:39:02 PM","00:39:49","49"
"Darron Towne","6481435540","19/08/21 11:43:34 PM","00:24:00","0"
"Kadin Wilderman","7820212022","10/08/21 03:31:34 PM","00:39:48","48"
"Osbaldo Frami","6363788523","16/02/23 04:28:22 PM","00:35:52","52"
"Mckenna Greenfelder","8474444466","07/02/21 03:10:56 PM","00:58:12","12"
"Theo Kihn","6825544206","24/02/22 07:40:10 PM","00:41:25","25"
"Jada Kunze","6817842047","15/01/21 03:11:45 PM","00:18:11","11"
"Alexandro Heidenreich","7016647153","09/01/21 01:37:43 PM","00:45:53","53"
"Dexter Rodriguez","7567834867","09/10/21 04:29:30 AM","00:43:24","24"
"Kara Hackett","8371131081","23/11/22 02:18:47 PM","00:44:21","21"
"Kali Blanda","6174001627","03/07/22 11:01:51 PM","00:02:09","9"
"Eulalia Carter","6620381605","13/04/22 04:40:01 PM","00:27:51","51"
"Tiara Blick","8544178677","14/12/22 05:41:18 PM","00:14:35","35"
"Rudy Gleichner","8158818283","08/05/23 05:55:57 PM","00:37:57","57"
"Norval Runolfsson","8271406530","25/04/22 10:54:38 AM","00:48:36","36"
"Norval Runolfsson","8271406530","23/10/22 03:11:33 AM","00:42:46","46"
"Gail Kunde","7144608124","26/12/21 04:58:32 AM","00:03:09","9"
"Norval Runolfsson","8271406530","28/12/21 11:54:09 AM","00:37:35","35"
"Alice Spencer","8868223038","21/04/22 09:50:11 PM","00:36:55","55"
"Margret Veum","8008140110","19/10/22 02:16:52 PM","00:22:06","6"
"Leonel Crona","6626720382","11/05/21 09:01:15 PM","00:30:11","11"
"Theo Kihn","6825544206","29/05/21 01:49:52 AM","00:08:20","20"
"Darlene Schmitt","7465500580","05/01/21 07:51:55 AM","00:04:35","35"
"Arjun Emmerich","6741632365","12/06/21 10:01:10 AM","00:10:37","37"
"Melisa Becker","6434263388","12/08/21 04:35:39 AM","00:45:43","43"
"Shaniya Shields","8214805385","25/06/23 05:57:19 AM","00:04:52","52"
"Elizabeth Kerluke","7641637280","04/01/22 02:36:48 PM","00:45:17","17"
"Kali Blanda","6174001627","01/09/21 03:58:44 PM","00:23:31","31"
"Kim Lesch","8671863255","08/11/22 02:37:35 PM","00:47:46","46"
"Mireya Gusikowski","6171017041","23/07/22 04:16:35 AM","00:31:33","33"
"Lucious Grant","6212311665","22/01/23 02:12:17 AM","00:23:12","12"
"Grady Wintheiser","6252764861","06/10/22 11:15:13 PM","00:43:29","29"
"Kennedy Borer","7307402025","05/11/22 05:52:06 AM","00:49:30","30"
